seconds_since_start,pump,pulse_count
23,1,1
27,2,1
138,2,1
138,1,1
757,1,1
758,1,2
808,2,1
808,2,2
8067,1,1
8069,2,1
8069,1,2
8070,2,2
8070,1,3
8070,2,3
8070,1,4
8082,2,4
8082,1,5
13,2,1
14,1,1
45,2,1
45,1,2
46,2,2
46,1,3
1300,1,1
1301,1,2
1301,2,1
1303,2,2
1303,1,3
44937,1,1
44967,1,2
48110,1,1
60849,1,1
63922,1,1
208,2,1
242,1,1
245,2,1
248,2,2
248,1,2
251,2,3
251,1,3
113,2,1
150,1,1
41221,1,1
41550,1,1
42001,1,1
42277,1,1
42351,1,1
42740,1,1
43162,1,1
43216,2,1
43279,2,1
43315,2,1
43347,1,1
43391,1,1
43422,2,1
